"No.","Time","Source","Destination","Protocol","Length","Info"
"310","68.519368","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"311","68.520817","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"312","68.520918","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"313","68.521499","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"314","68.523954","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"315","68.525499","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"316","68.525577","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"317","68.526778","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"318","68.526852","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"319","68.528012","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"320","68.528086","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"321","68.530148","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"322","68.533001","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"323","68.533091","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"324","68.534274","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"325","68.534351","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"326","68.554302","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"327","68.554393","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"328","68.554491","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"329","68.558070","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"330","68.558148","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"331","68.558191","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"332","68.559249","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"333","68.559336","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"334","68.560512","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"335","68.560597","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"336","68.562645","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"337","68.565500","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"338","68.565593","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"339","68.566779","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"340","68.566864","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"341","68.568013","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"342","68.568097","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"343","68.568982","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"344","68.571448","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
"345","68.572999","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"346","68.573085","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"347","68.574278","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"348","68.574369","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"349","68.575512","remote ()","localhost ()","L2CAP","44","Rcvd Echo Request"
"350","68.575599","localhost ()","remote ()","L2CAP","44","Sent Echo Response"
"351","68.577643","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets"
